Model,Sales_in_thousands,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity
Integra,16.919,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2
TL,39.384,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2
CL,14.114,,3.2,225,106.9,70.6,192,3.47,17.2
RL,8.588,42,3.5,210,114.6,71.4,196.6,3.85,18
A4,20.397,23.99,1.8,150,102.6,68.2,178,2.998,16.4
A6,18.78,33.95,2.8,200,108.7,76.1,192,3.561,18.5
A8,1.38,62,4.2,310,113,74,198.2,3.902,23.7
323i,19.747,26.99,2.5,170,107.3,68.4,176,3.179,16.6
328i,9.231,33.4,2.8,193,107.3,68.5,176,3.197,16.6
528i,17.527,38.9,2.8,193,111.4,70.9,188,3.472,18.5
Century,91.561,21.975,3.1,175,109,72.7,194.6,3.368,17.5
Regal,39.35,25.3,3.8,240,109,72.7,196.2,3.543,17.5
Park Avenue,27.851,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5
LeSabre,83.257,27.885,3.8,205,112.2,73.5,200,3.591,17.5
DeVille,63.729,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5
Seville,15.943,44.475,4.6,275,112.2,75,201,,18.5
Eldorado,6.536,39.665,4.6,275,108,75.5,200.6,3.843,19
Catera,11.185,31.01,3,200,107.4,70.3,194.8,3.77,18
Escalade,14.785,46.225,5.7,255,117.5,77,201.2,5.572,30
Cavalier,145.519,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3
Malibu,135.126,16.535,3.1,170,107,69.4,190.4,3.051,15
Lumina,24.629,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6
Monte Carlo,42.593,19.39,3.4,180,110.5,72.7,197.9,3.34,17
Camaro,26.402,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8
Corvette,17.947,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1
Prizm,32.299,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2
Metro,21.855,9.235,1,55,93.1,62.6,149.4,1.895,10.3
Impala,107.995,18.89,3.4,180,110.5,73,200,3.389,17
Sebring Coupe,7.854,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9
Sebring Conv.,32.775,24.495,2.5,168,106,69.2,193,3.332,16
Concorde,31.148,22.245,2.7,200,113,74.4,209.1,3.452,17
Cirrus,32.306,16.48,2,132,108,71,186,2.911,16
LHS,13.462,28.34,3.5,253,113,74.4,207.7,3.564,17
Town & Country,53.48,,,,,,,,
300M,30.696,29.185,3.5,253,113,74.4,197.8,3.567,17
Neon,76.034,12.64,2,132,105,74.4,174.4,2.567,12.5
Avenger,4.734,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9
Stratus,71.186,20.23,2.5,168,108,71,186,3.058,16
Intrepid,88.028,22.505,2.7,202,113,74.7,203.7,3.489,17
Viper,0.916,69.725,8,450,96.2,75.7,176.7,3.375,19
Ram Pickup,227.061,19.46,5.2,230,138.7,79.3,224.2,4.47,26
Ram Wagon,16.767,21.315,3.9,175,109.6,78.8,192.6,4.245,32
Ram Van,31.038,18.575,3.9,175,127.2,78.8,208.5,4.298,32
Dakota,111.313,16.98,2.5,120,131,71.5,215,3.557,22
Durango,101.323,26.31,5.2,230,115.7,71.7,193.5,4.394,25
Caravan,181.749,19.565,2.4,150,113.3,76.8,186.3,3.533,20
Escort,70.227,12.07,2,110,98.4,67,174.7,2.468,12.7
Mustang,113.369,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7
Contour,35.068,17.035,2.5,170,106.5,69.1,184.6,2.769,15
Taurus,245.815,17.885,3,155,108.5,73,197.6,3.368,16
Focus,175.67,12.315,2,107,103,66.9,174.8,2.564,13.2
Crown Victoria,63.403,22.195,4.6,200,114.7,78.2,212,3.908,19
Explorer,276.747,31.93,4,210,111.6,70.2,190.7,3.876,21
Windstar,155.787,21.41,3,150,120.7,76.6,200.9,3.761,26
Expedition,125.338,36.135,4.6,240,119,78.7,204.6,4.808,26
Ranger,220.65,12.05,2.5,119,117.5,69.4,200.7,3.086,20
F-Series,540.561,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1
Civic,199.685,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9
Accord,230.902,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1
CR-V,73.203,20.55,2,146,103.2,68.9,177.6,3.219,15.3
Passport,12.855,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1
Odyssey,76.029,26,3.5,210,118.1,75.6,201.2,4.288,20
Accent,41.184,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9
Elantra,66.692,11.799,2,140,100.4,66.9,174,2.626,14.5
Sonata,29.45,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2
I30,23.713,29.465,3,227,108.3,70.2,193.7,3.342,18.5
S-Type,15.467,42.8,3,240,114.5,71.6,191.3,3.65,18.4
Wrangler,55.557,14.46,2.5,120,93.4,66.7,152,3.045,19
Cherokee,80.556,21.62,4,190,101.4,69.4,167.5,3.194,20